"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","87.59","87.20","88.96","86.70","0.14K","-0.35%"
"02/07/2023","87.90","88.20","88.36","86.50","0.29K","-0.07%"
"02/06/2023","87.96","90.44","92.34","87.80","0.44K","-3.23%"
"02/03/2023","90.90","91.82","92.98","90.41","0.75K","0.28%"
"02/02/2023","90.65","92.80","93.96","89.23","1.06K","-2.16%"
"02/01/2023","92.65","90.00","94.26","90.00","0.61K","2.80%"
"01/31/2023","90.13","87.18","90.33","86.43","2.81K","3.35%"
"01/30/2023","87.21","87.05","87.56","85.84","1.54K","0.31%"
"01/27/2023","86.94","86.81","88.00","86.37","1.19K","0.15%"
"01/26/2023","86.81","82.19","86.90","81.65","0.95K","5.51%"
"01/25/2023","82.28","79.46","82.40","78.90","0.30K","3.34%"
"01/24/2023","79.62","81.93","82.21","79.10","0.65K","-2.67%"
"01/23/2023","81.80","82.59","83.32","81.70","0.44K","-0.97%"
"01/20/2023","82.60","81.92","82.72","81.01","0.84K","0.90%"
"01/19/2023","81.86","80.89","82.73","80.78","0.69K","0.54%"
"01/18/2023","81.42","76.90","81.42","76.85","1.03K","5.45%"
"01/17/2023","77.21","75.25","77.70","74.75","0.56K","2.85%"
"01/16/2023","75.07","76.80","76.98","75.07","0.73K","-2.76%"
"01/13/2023","77.20","77.49","78.00","75.82","0.48K","-0.72%"
"01/12/2023","77.76","76.73","77.90","76.25","0.11K","1.46%"
"01/11/2023","76.64","78.25","79.11","76.24","1.41K","-2.22%"
"01/10/2023","78.38","79.74","79.79","77.94","1.75K","-0.91%"
"01/09/2023","79.10","74.80","79.58","74.80","1.21K","4.70%"
"01/06/2023","75.55","76.00","77.33","75.00","0.43K","-0.91%"
"01/05/2023","76.24","75.35","77.43","74.85","0.84K","1.11%"
"01/04/2023","75.40","80.29","80.29","75.24","0.75K","-6.24%"
"01/03/2023","80.42","83.00","83.00","79.49","0.91K","-3.88%"
"01/02/2023","83.67","80.17","83.68","80.17","0.21K","5.38%"
"12/30/2022","79.40","82.00","82.80","78.23","1.80K","-3.59%"
"12/29/2022","82.36","83.85","83.85","81.87","0.47K","-2.10%"
"12/28/2022","84.13","86.02","86.02","83.85","0.90K","-2.27%"
"12/27/2022","86.08","85.92","88.50","85.55","0.30K","-0.89%"
"12/23/2022","86.85","87.46","88.05","86.08","0.33K","0.00%"
"12/22/2022","86.85","85.71","87.95","84.95","0.49K","1.46%"
"12/21/2022","85.60","86.22","86.22","84.25","1.74K","-1.46%"
"12/20/2022","86.87","84.60","88.02","83.85","0.73K","2.57%"
"12/19/2022","84.69","86.57","86.65","83.85","1.11K","1.21%"
"12/16/2022","83.68","85.24","86.33","83.07","14.70K","-1.78%"
"12/15/2022","85.20","86.19","87.64","85.00","19.65K","-1.15%"
"12/14/2022","86.19","88.44","89.40","84.76","24.19K","-3.15%"
"12/13/2022","88.99","90.15","90.15","87.16","21.22K","-0.91%"
"12/12/2022","89.81","87.50","90.41","87.40","17.50K","2.37%"
"12/09/2022","87.73","88.65","89.16","86.75","15.17K","-1.35%"
"12/08/2022","88.93","88.15","89.54","87.62","17.00K","0.84%"
"12/07/2022","88.19","88.29","88.67","86.13","20.68K","-0.47%"
"12/06/2022","88.61","87.13","89.48","86.00","19.77K","1.65%"
"12/05/2022","87.17","87.85","88.28","85.40","18.11K","-0.92%"
"12/02/2022","87.98","85.03","87.98","84.45","16.95K","3.65%"
"12/01/2022","84.88","84.63","88.69","83.91","22.09K","-0.02%"
"11/30/2022","84.90","81.12","85.25","80.81","26.55K","4.31%"
"11/29/2022","81.39","78.86","81.50","78.05","13.53K","3.56%"
"11/28/2022","78.59","78.92","79.00","76.92","17.25K","-0.48%"
"11/25/2022","78.97","78.71","79.76","78.10","11.48K","0.36%"
"11/24/2022","78.69","76.05","78.75","75.64","14.09K","3.72%"
"11/23/2022","75.87","74.07","76.88","73.61","14.45K","2.71%"
"11/22/2022","73.87","74.70","74.70","73.44","12.48K","-0.55%"
"11/21/2022","74.28","72.44","75.18","71.68","15.86K","2.50%"
"11/18/2022","72.47","72.38","73.99","71.95","19.32K","0.10%"
"11/17/2022","72.40","73.55","74.71","71.89","21.45K","-1.38%"
"11/16/2022","73.41","77.00","77.41","73.08","30.68K","-4.23%"
"11/15/2022","76.65","75.03","77.25","74.00","20.44K","1.89%"
"11/14/2022","75.23","75.69","76.00","74.59","20.13K","-0.80%"
"11/11/2022","75.84","73.33","76.54","73.05","20.33K","3.82%"
"11/10/2022","73.05","72.50","74.29","70.50","27.27K","0.40%"
"11/09/2022","72.76","76.06","76.94","72.55","37.96K","-4.34%"
"11/08/2022","76.06","77.75","77.79","75.55","22.83K","-1.85%"
"11/07/2022","77.49","76.36","78.20","75.54","17.48K","1.48%"
"11/04/2022","76.36","76.50","79.50","76.17","20.66K","0.10%"
"11/03/2022","76.28","76.63","78.20","75.36","26.29K","-0.55%"
"11/02/2022","76.70","77.16","78.57","76.08","13.91K","-0.03%"
"11/01/2022","76.72","79.78","80.69","75.69","20.00K","-4.06%"
"10/31/2022","79.97","81.77","82.00","78.15","13.80K","-1.53%"
"10/28/2022","81.21","80.27","82.58","80.01","18.87K","1.25%"
"10/27/2022","80.21","75.26","81.00","74.90","26.46K","5.83%"
"10/26/2022","75.79","77.25","78.87","74.90","22.98K","-1.71%"
"10/25/2022","77.11","72.41","77.80","71.99","31.49K","6.62%"
"10/24/2022","72.32","69.00","72.66","67.64","23.32K","5.24%"
"10/21/2022","68.72","66.71","69.42","66.66","12.84K","2.77%"
"10/20/2022","66.87","67.23","67.88","66.54","18.01K","-0.62%"
"10/19/2022","67.29","67.25","69.69","66.99","19.13K","-0.71%"
"10/18/2022","67.77","67.29","68.39","66.51","18.00K","0.39%"
"10/17/2022","67.51","68.01","68.63","66.26","16.57K","-0.75%"
"10/14/2022","68.02","68.72","69.00","67.12","13.34K","-1.19%"
"10/13/2022","68.84","66.37","69.50","65.75","26.08K","3.19%"
"10/12/2022","66.71","66.40","68.64","65.01","21.02K","0.56%"
"10/11/2022","66.34","66.90","67.40","65.65","16.72K","-0.64%"
"10/10/2022","66.77","68.98","69.40","65.71","17.06K","-4.41%"
"10/07/2022","69.85","69.20","70.39","67.63","15.42K","1.29%"
"10/06/2022","68.96","66.89","69.49","65.50","15.70K","2.82%"
"10/05/2022","67.07","67.72","71.36","66.54","19.79K","0.22%"
"10/04/2022","66.92","66.62","68.35","65.40","19.88K","1.49%"
"10/03/2022","65.94","66.55","66.73","64.25","14.31K","-1.18%"
"09/30/2022","66.73","64.86","68.66","64.86","16.14K","1.52%"
"09/29/2022","65.73","65.53","66.86","64.14","19.93K","0.89%"
"09/28/2022","65.15","67.80","68.27","64.37","24.12K","-4.13%"
"09/27/2022","67.96","70.33","71.10","67.37","16.53K","-3.37%"
"09/26/2022","70.33","65.15","71.95","64.10","20.57K","6.93%"
"09/23/2022","65.77","70.01","70.30","65.35","22.61K","-6.63%"
