"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2022","96.70","96.62","96.80","93.70","24.30K","0.26%"
"02/04/2022","96.45","94.89","97.50","94.44","27.89K","1.73%"
"02/03/2022","94.81","94.25","94.94","93.10","22.09K","0.64%"
"02/02/2022","94.21","90.00","94.62","89.60","40.36K","5.24%"
"02/01/2022","89.52","89.74","89.94","87.16","22.35K","0.31%"
"01/31/2022","89.24","89.37","89.95","88.10","17.72K","0.02%"
"01/28/2022","89.22","89.40","90.63","88.88","19.66K","-0.60%"
"01/27/2022","89.76","87.90","89.95","87.90","21.72K","1.24%"
"01/26/2022","88.66","87.37","90.00","86.63","28.00K","1.38%"
"01/25/2022","87.45","84.30","88.10","83.61","28.18K","4.08%"
"01/24/2022","84.02","84.40","86.45","83.02","26.65K","-0.53%"
"01/21/2022","84.47","85.21","85.65","83.28","20.16K","-1.31%"
"01/20/2022","85.59","81.34","85.97","80.53","31.23K","4.26%"
"01/19/2022","82.09","82.80","82.80","80.80","31.78K","-0.70%"
"01/18/2022","82.67","80.40","82.97","79.00","46.23K","2.59%"
"01/17/2022","80.58","82.70","82.75","79.88","15.80K","-1.83%"
"01/14/2022","82.08","82.05","83.75","81.50","24.95K","1.89%"
"01/13/2022","80.56","80.20","81.43","77.55","25.06K","0.69%"
"01/12/2022","80.01","82.70","83.24","79.15","20.17K","-1.59%"
"01/11/2022","81.30","81.40","84.45","80.12","23.49K","1.51%"
"01/10/2022","80.09","86.12","87.00","79.80","30.95K","-6.24%"
"01/07/2022","85.42","86.80","87.61","85.21","15.83K","-1.52%"
"01/06/2022","86.74","87.47","87.80","85.33","13.39K","-0.96%"
"01/05/2022","87.58","85.90","88.55","85.27","20.64K","3.14%"
"01/04/2022","84.91","83.95","86.80","83.81","17.53K","1.07%"
"01/03/2022","84.01","79.80","84.40","79.80","9.98K","4.17%"
"12/31/2021","80.65","79.98","81.25","79.55","3.69K","0.61%"
"12/30/2021","80.16","80.50","80.65","79.25","8.54K","-0.25%"
"12/29/2021","80.36","79.13","80.87","78.11","13.84K","1.35%"
"12/28/2021","79.29","76.80","79.69","76.21","4.61K","3.08%"
"12/27/2021","76.92","75.87","77.13","75.04","3.63K","0.80%"
"12/24/2021","76.31","74.70","76.87","74.51","2.38K","2.48%"
"12/23/2021","74.46","77.50","77.75","74.25","19.47K","-3.08%"
"12/22/2021","76.83","80.07","80.17","75.45","31.50K","-5.08%"
"12/21/2021","80.94","80.52","82.85","78.09","18.01K","1.06%"
"12/20/2021","80.09","74.00","81.75","73.42","28.04K","8.20%"
"12/17/2021","74.02","85.25","85.25","73.25","42.72K","-13.64%"
"12/16/2021","85.71","82.18","86.05","81.12","34.66K","5.57%"
"12/15/2021","81.19","80.35","82.24","80.10","28.37K","1.34%"
"12/14/2021","80.12","82.32","83.88","78.90","21.06K","-3.14%"
"12/13/2021","82.72","84.80","87.40","82.20","18.39K","-1.96%"
"12/10/2021","84.37","81.08","84.50","80.48","29.31K","4.32%"
"12/09/2021","80.88","90.25","90.75","80.40","29.01K","-9.54%"
"12/08/2021","89.41","85.64","91.19","85.51","27.84K","4.77%"
"12/07/2021","85.34","82.30","85.94","82.30","19.74K","4.52%"
"12/06/2021","81.65","79.14","82.17","78.74","15.71K","3.83%"
"12/03/2021","78.64","80.41","80.80","78.38","12.64K","-2.01%"
"12/02/2021","80.25","76.51","80.35","76.50","15.68K","3.95%"
"12/01/2021","77.20","75.95","78.76","75.60","10.85K","1.94%"
"11/30/2021","75.73","74.12","75.81","73.54","14.83K","1.60%"
"11/29/2021","74.54","74.20","76.06","74.20","13.08K","1.94%"
"11/26/2021","73.12","74.38","74.51","70.70","7.14K","-2.23%"
"11/25/2021","74.79","73.58","75.37","72.50","13.11K","2.13%"
"11/24/2021","73.23","69.93","73.48","69.25","13.30K","5.38%"
"11/23/2021","69.49","70.30","70.93","69.10","12.72K","-1.04%"
"11/22/2021","70.22","70.09","71.48","69.59","7.51K","0.82%"
"11/19/2021","69.65","69.47","70.10","68.90","6.42K","0.39%"
"11/18/2021","69.38","67.57","69.49","66.62","9.09K","2.86%"
"11/17/2021","67.45","68.15","68.73","67.10","10.94K","-0.56%"
"11/16/2021","67.83","66.80","68.10","66.57","8.17K","2.43%"
"11/15/2021","66.22","63.94","67.27","63.94","9.55K","4.15%"
"11/12/2021","63.58","63.98","64.81","63.43","4.86K","-0.69%"
"11/11/2021","64.02","63.12","64.22","62.40","4.90K","0.85%"
"11/10/2021","63.48","60.45","63.58","60.31","8.93K","4.49%"
"11/09/2021","60.75","60.35","61.70","60.23","6.80K","-0.34%"
