"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"07.01.2022 11:00 - 07.01.2022 12:00","58","62","85","971","972","1021","1165","1331","1404"
"07.01.2022 12:00 - 07.01.2022 13:00","63","73","97","942","1060","936","1086","1219","1290"
"07.01.2022 13:00 - 07.01.2022 14:00","49","62","113","860","1055","1072","956","1087","1144"
"07.01.2022 14:00 - 07.01.2022 15:00","31","38","91","892","1011","1038","863","1026","1223"
"07.01.2022 15:00 - 07.01.2022 16:00","11","12","18","798","958","791","806","1013","1130"
"07.01.2022 16:00 - 07.01.2022 17:00","0","0","1","728","961","780","757","1002","1058"
"07.01.2022 17:00 - 07.01.2022 18:00","0","0","1","688","937","786","718","1012","956"
"07.01.2022 18:00 - 07.01.2022 19:00","0","0","1","628","840","579","686","979","840"
"07.01.2022 19:00 - 07.01.2022 20:00","0","0","1","559","761","798","631","892","966"
"07.01.2022 20:00 - 07.01.2022 21:00","0","0","0","477","652","818","647","851","925"
"07.01.2022 21:00 - 07.01.2022 22:00","0","0","0","423","604","710","656","797","852"
"07.01.2022 22:00 - 07.01.2022 23:00","0","0","0","493","608","780","666","744","819"
"07.01.2022 23:00 - 08.01.2022 00:00","0","0","0","449","560","681","638","698","844"
"08.01.2022 00:00 - 08.01.2022 01:00","0","N/A","0","547","N/A","662","688","N/A","851"
"08.01.2022 01:00 - 08.01.2022 02:00","0","N/A","0","513","N/A","607","679","N/A","994"
"08.01.2022 02:00 - 08.01.2022 03:00","0","N/A","0","509","N/A","531","692","N/A","990"
"08.01.2022 03:00 - 08.01.2022 04:00","0","N/A","0","619","N/A","607","707","N/A","1118"
"08.01.2022 04:00 - 08.01.2022 05:00","0","N/A","0","714","N/A","942","800","N/A","1211"
"08.01.2022 05:00 - 08.01.2022 06:00","0","N/A","0","842","N/A","562","923","N/A","1302"
"08.01.2022 06:00 - 08.01.2022 07:00","0","N/A","0","929","N/A","962","1078","N/A","1375"
"08.01.2022 07:00 - 08.01.2022 08:00","0","N/A","0","934","N/A","1056","1218","N/A","1537"
"08.01.2022 08:00 - 08.01.2022 09:00","0","0","0","977","1042","1038","1271","1755","1755"
"08.01.2022 09:00 - 08.01.2022 10:00","14","15","22","960","944","974","1190","1718","1592"
"08.01.2022 10:00 - 08.01.2022 11:00","51","60","71","890","905","968","999","1454","1260"
"08.01.2022 11:00 - 08.01.2022 12:00","92","100","217","782","873","786","835","1279","1177"
"08.01.2022 12:00 - 08.01.2022 13:00","102","108","190","737","836","666","711","1098","732"
"08.01.2022 13:00 - 08.01.2022 14:00","78","90","145","787","839","761","583","958","508"
"08.01.2022 14:00 - 08.01.2022 15:00","48","55","73","743","854","937","465","831","466"
"08.01.2022 15:00 - 08.01.2022 16:00","16","16","26","783","805","643","418","773","545"
"08.01.2022 16:00 - 08.01.2022 17:00","0","0","3","814","802","935","451","812","491"
"08.01.2022 17:00 - 08.01.2022 18:00","0","0","1","790","844","771","542","930","636"
"08.01.2022 18:00 - 08.01.2022 19:00","0","0","1","762","866","784","672","1002","837"
"08.01.2022 19:00 - 08.01.2022 20:00","0","0","0","763","916","802","799","999","1035"
"08.01.2022 20:00 - 08.01.2022 21:00","0","0","0","816","944","898","952","1087","1249"
"08.01.2022 21:00 - 08.01.2022 22:00","0","0","0","858","931","962","1086","1244","1316"
"08.01.2022 22:00 - 08.01.2022 23:00","0","0","0","872","911","981","1226","1402","1411"
"08.01.2022 23:00 - 09.01.2022 00:00","0","0","0","910","946","962","1317","1536","1534"
"09.01.2022 00:00 - 09.01.2022 01:00","0","N/A","0","981","N/A","1049","1701","N/A","1678"
"09.01.2022 01:00 - 09.01.2022 02:00","0","N/A","0","1034","N/A","1042","1731","N/A","1690"
"09.01.2022 02:00 - 09.01.2022 03:00","0","N/A","0","1078","N/A","1077","1752","N/A","1773"
"09.01.2022 03:00 - 09.01.2022 04:00","0","N/A","0","1082","N/A","1117","1727","N/A","1627"
"09.01.2022 04:00 - 09.01.2022 05:00","0","N/A","0","1053","N/A","1107","1713","N/A","1560"
"09.01.2022 05:00 - 09.01.2022 06:00","0","N/A","0","1015","N/A","1090","1662","N/A","1556"
"09.01.2022 06:00 - 09.01.2022 07:00","0","N/A","0","976","N/A","1040","1629","N/A","1545"
